Date (Y-M-D),Operation,Asset,Amount,Price,Exchange
2021-04-16.SELL,BTC,.2,???,https://coinswitch.co/
2021-04-16.BUY,XRP,7792.949,???,https://coinswitch.co/
2021-02-07,BUY,ADA,1074.155257,720.00,uphold
2021-02-07,BUY,LTC,4.73853792,720.00,uphold
2021-02-07,BUY,BTC,0.01840872,720.00,uphold
2021-02-07,BUY,XRP,1692.166461,720.00,uphold
2021-02-07,BUY,ETH,0.444305402884479726,720.00,uphold
2021-02-07,BUY,LINK,30.264954043495930544,720.00,uphold
# SWAP = SELL then BUY
2021-02-08.SELL,BTC,.5,22025.00,uphold
2021-02-08.BUY,XRP,50088.26167,22025.00,uphold
2021-02-08.SELL,LTC,25.0,3989.00,uphold
2021-02-10,BUY,ADA,1153.133045,1000.00,uphold
2021-02-10,BUY,LTC,5.49169835,1000.00,uphold
2021-02-10,BUY,BTC,0.02191655,1000.00,uphold
2021-02-10,BUY,XRP,1980.677761,1000.00,uphold
2021-02-10,BUY,ETH,0.566992419240270407,1000.00,uphold
2021-02-10,BUY,LINK,36.573014893223725472,1000.00,uphold
2021-02-20.SELL,ETH,9.0,18062.00,uphold
2021-02-20,BUY,ADA,3167.9,3600.00,uphold
2021-02-20,BUY,LTC,14.375,3600.00,uphold
2021-02-20,BUY,BTC,.06326,3600.00,uphold
2021-02-20,BUY,XRP,6345.5,3600.00,uphold
2021-02-20,BUY,LINK,98.105,3600.00,uphold
2021-02-23.BUY,XRP,2310.563764,1000.00,uphold
2021-03-04.SELL,XRP,2545.0,1166.46,uphold
2021-03-04.BUY,BTC,0.07680625,3666.00,uphold
2021-03-11.SELL,BTC,0.35,19244.00,uphold
2021-03-11,BUY,ADA,3664.865803,4200.00,uphold
2021-03-11,BUY,LTC,20.90164321,4200.00,uphold
2021-03-11,BUY,ETH,2.323737477174463464,4200.00,uphold
2021-03-11,BUY,XRP,9064.016679,4200.00,uphold
2021-03-11,BUY,LINK,140.378312783339552472,4200.00,uphold
2021-03-13.SELL,ETH,19.33003,36496.44,uphold
2021-03-13,BUY,ADA,6461.050921,7200.00,uphold
2021-03-13,BUY,LTC,31.7343155,7200.00,uphold
2021-03-13,BUY,BTC,0.11704105,7200.00,uphold
2021-03-13,BUY,XRP,15558.649,7200.00,uphold
2021-03-13,BUY,LINK,239.094427555524221426,7200.00,uphold
2021-03-17.SELL,LINK,544.415402735707724056,16721.51,uphold
2021-03-17,BUY,ADA,3117.383118,4400.00,uphold
2021-03-17,BUY,LTC,20.98360884,4400.00,uphold
2021-03-17,BUY,BTC,0.07331572,4400.00,uphold
2021-03-17,BUY,XRP,9193.719205,4400.00,uphold
# SWAP = SELL then BUY
2021-03-20.SELL,XRP,3816.835862,???,uphold
2021-03-20.BUY,ADA,1450.00,???,uphold
2021-03-20.SELL,BTC,0.01885133,1109.00,uphold
2021-03-20.BUY,ADA,1150.133059,1472.00,uphold
2021-03-23.BUY,ETH,0.231506622867368661,400.00,uphold
2021-03-23,BUY,ADA,343.124957,400.00,uphold
2021-03-23,BUY,LTC,2.10637309,400.00,uphold
2021-03-23,BUY,BTC,0.00712443,400.00,uphold
2021-03-23,BUY,XRP,706.432428,400.00,uphold
2021-03-23,BUY,LINK,14.433136769737018914,400.00,uphold
021-04-02.SELL,LINK,14.433136769737018914,438.56,uphold
2021-04-02.BUY,ADA,441.916181,538.56,uphold
# SWAP = SELL then BUY
2021-04-12.SELL,ADA,22023.234504,???,uphold
2021-04-12.BUY,LTC,113.79084990,???,uphold
2021-04-13.SELL,XRP,1310.84448,2305.52,uphold
2021-04-14.SELL,LTC,30.61514733,8022.81,uphold
2021-04-20.BUY,XRP,1951.30,2500.00,uphold
# SWAP = SELL then BUY
2021-05-01.SELL,LTC,27.84333584,???,uphold
2021-05-01.BUY,XRP,1656.986419,???,uphold
2021-05-01.SELL,XRP,21656.986419,2645.54,uphold
# SWAP = SELL then BUY
2021-02-20.SELL,XRP,750.0,???,nexo
2021-02-20.BUY,NEXO,129.44,???,nexo
# SWAP = SELL then BUY
2021-02-22.SELL,XRP,1700.0,???,nexo
2021-02-22.BUY,NEXO,442.3,???,nexo
# SWAP = SELL then BUY
2021-04-12.SELL,XRP,235.0,???,nexo
2021-04-12.BUY,NEXO,75.7,???,nexo
# SWAP = SELL then BUY
2021-04-17.SELL,ETH,0.75823703,???,nexo
2021-04-17.BUY,LTC,5.77800021,???,nexo
# SWAP = SELL then BUY
2021-04-17.SELL,BTC,0.01036550,???,nexo
2021-04-17.BUY,LTC,2.03999897,???,nexo

===============
Nexo
----------------------
Interest $65.52???? A xrp up to 3-11-2021 [143.9]
Interest as of 3-27-21 BTC 0.00171343, XRP [218.2-143.9=74.3]
Interest as of 4-17-2012 BTC [0.00263207 - 0.00171343=???] XRP [310.962546-218.2=???] ETH 0.02450819

5-1 interest 0.02534086 LTC, (324.516373-310.962546=) xrp,  0.731176 usdc
