Date,Operation,Asset,Amount,Price,Exchange
2020-06-24,HAVE,LINK,49.914000000000000,234.464526180000000,COINBASE
2020-07-31,HAVE,LINK,7.440000000000000,58.396932000000000,COINBASE
2020-07-31,HAVE,LINK,30.370000000000000,238.375648500000000,COINBASE
2020-07-31,HAVE,LINK,12.190000000000000,95.679919500000000,COINBASE
2020-08-18,HAVE,LINK,75.000000000000000,1225.910000000000025,COINBASE
2020-08-18,HAVE,LINK,12.050000000000000,198.850305000000000,COINBASE
2020-08-18,HAVE,LINK,62.950000000000000,1038.807195000000000,COINBASE
2020-09-02,HAVE,LINK,75.000000000000000,1099.370000000000025,COINBASE
2020-09-18,HAVE,LINK,75.000000000000000,816.999999999999975,COINBASE
2020-08-12,HAVE,LTC,6.000000000000000,328.060000000000002,COINBASE
2017-09-15,HAVE,LTC,11.262000000000000,600.110410672181940,COINBASE
2017-12-14,HAVE,LTC,1.000000000000000,288.250000000000000,COINBASE
2017-12-22,HAVE,LTC,2.000000000000000,385.410000000000000,COINBASE
2018-01-17,HAVE,LTC,2.000000000000000,340.310000000000000,COINBASE
2018-02-01,HAVE,LTC,5.000000000000000,732.750000000000000,COINBASE
2018-03-15,HAVE,LTC,5.010000000000000,813.830000000000001,COINBASE
2018-03-29,HAVE,LTC,5.000000000000000,651.650000000000000,COINBASE
2018-05-22,HAVE,LTC,4.500000000000000,571.500000000000000,COINBASE
2018-09-04,HAVE,LTC,0.854326690000000,58.019999560439700,COINBASE
2018-10-02,HAVE,LTC,117.500000000000000,7030.025000000000000,COINBASE
2019-12-05,HAVE,LTC,0.795791890000000,35.829734055360000,COINBASE
2019-12-05,HAVE,LTC,0.795791890000000,35.829734055360000,COINBASE
2019-12-05,HAVE,LTC,0.373968050000000,16.837537483200000,COINBASE
2019-12-05,HAVE,LTC,8.034000000000000,361.722816000000000,COINBASE
2019-12-05,HAVE,LTC,0.000448170000000,0.020178406080000,COINBASE
2020-03-01,HAVE,LTC,1.000000000000000,57.787500000000000,COINBASE
2020-03-01,HAVE,LTC,3.310000000000000,191.276625000000000,COINBASE
2020-03-01,HAVE,LTC,10.690000000000000,617.748375000000000,COINBASE
2020-08-02,HAVE,LTC,7.930000000000000,456.400000000000000,COINBASE
2020-08-18,HAVE,LTC,1.000000000000000,65.827500000000000,COINBASE
2020-09-02,HAVE,LTC,1.000000000000000,58.000000000000000,COINBASE
2020-09-18,HAVE,LTC,0.440000000000000,21.540000000000000,COINBASE
2020-10-03,HAVE,USDC,63.900000000000000,63.900000000000000,COINBASE
2020-11-05,HAVE,XRP,8724.000000000000000,2152.199282714784000,COINBASE
2020-11-05,HAVE,XRP,3545.000000000000000,874.546819947720000,COINBASE
2020-09-18,HAVE,XRP,5000.000000000000000,1272.050000000000000,COINBASE
2020-09-02,HAVE,XRP,5000.000000000000000,1344.200000000000000,COINBASE
2020-08-18,HAVE,XRP,5000.000000000000000,1507.500000000000000,COINBASE
2020-08-02,HAVE,XRP,8000.000000000000000,2130.600000000000000,COINBASE
2020-07-16,HAVE,XRP,10000.000000000000000,1959.750000000000000,COINBASE
2020-06-24,HAVE,XRP,6500.000000000000000,1182.382500000000000,COINBASE
2020-06-13,HAVE,XRP,3378.000000000000000,653.176836000000000,COINBASE
2020-11-24,HAVE,XRP,6000.000000000000000,3939.040000000002000,COINBASE
2020-06-13,HAVE,XRP,250.000000000000000,48.340500000000000,COINBASE
2020-03-14,HAVE,XRP,4254.000000000000000,641.290500000000000,COINBASE
2020-03-14,HAVE,XRP,858.000000000000000,129.343500000000000,COINBASE
2020-03-14,HAVE,XRP,214.000000000000000,32.260500000000000,COINBASE
2020-03-14,HAVE,XRP,977.000000000000000,147.282750000000000,COINBASE
2020-03-14,HAVE,XRP,697.000000000000000,105.072750000000000,COINBASE
2020-03-01,HAVE,XRP,3920.000000000000000,898.228800000000000,COINBASE
2019-12-14,HAVE,XRP,4593.000000000000000,999.818019000000000,COINBASE
2020-06-13,HAVE,XRP,2372.000000000000000,458.654664000000000,COINBASE
